time_stamp,time_stamp,sbert_jap_en__ai,sbert_jap_en__fansub,sbert_jap_en__official,sbert_jap_sp__ai,sbert_jap_sp__fansub,sbert_jap_sp__official,comet_jap_en__ai,comet_jap_en__fansub,comet_jap_en__official,comet_jap_sp__ai,comet_jap_sp__fansub,comet_jap_sp__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official
38,02:12.2,0.542327344417572,0.583289623260498,0.583289623260498,0.7166159152984619,0.6439345479011536,0.6238653659820557,0.1022811532020568,-0.0526763163506984,-0.0526763163506984,0.0087429992854595,-0.0704874247312545,-0.1943669021129608,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ,いや　ていうかさ
39,02:14.4,0.5413032174110413,0.4487977921962738,0.453705221414566,0.7221280932426453,0.486969530582428,0.3143798410892486,-0.2084139287471771,-0.5068046450614929,-0.5641922354698181,-0.1899121850728988,-0.2364802658557891,-0.3947483599185943,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生,本当に全部よけてんのかよ　先生
40,02:16.6,0.5878685712814331,0.6412028074264526,0.6185067296028137,0.6198574304580688,0.5473597645759583,0.1580189019441604,-0.2358330190181732,-0.1667415201663971,-0.439492791891098,-0.5288205742835999,-0.7336750626564026,-1.0801762342453003,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ,どう見ても これ　ただのBB弾だろ
41,02:19.8,0.5752067565917969,0.4061238169670105,0.499333381652832,0.7318788766860962,0.6032871007919312,0.400485634803772,-0.4423542320728302,-0.7443280816078186,-0.4623957574367523,-0.6716612577438354,-0.1367456316947937,-0.7195057272911072,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの,当たってるのに　我慢してるだけじゃないの
42,02:22.6,0.8128564357757568,0.7793502807617188,0.7793502807617188,0.8554993271827698,0.8316813111305237,0.4672960638999939,0.228385716676712,0.4528091251850128,0.4528091251850128,0.1909395456314087,0.5455004572868347,-0.4353721141815185,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ,そうよ　そうだよ
43,02:26.2,0.4992350935935974,0.501598060131073,0.4294124841690063,0.8663303852081299,0.6161385178565979,0.8763473033905029,-0.1933697611093521,-0.2438342571258545,-0.4343936145305633,-0.5016737580299377,-0.920765459537506,-0.7821164727210999,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい,では　弾を込めて渡しなさい
44,02:29.4,0.6926053762435913,0.4730413556098938,0.4730413556098938,0.5611605644226074,0.5107729434967041,0.5319461822509766,-0.3466261923313141,-0.4576140940189361,-0.4576140940189361,-0.5859013199806213,-0.2799865305423736,-0.2641485929489136,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう,言ったでしょう
45,02:31.0,0.6800769567489624,0.2800828516483307,0.2800828218460083,0.887315034866333,0.2800828516483307,0.2800828516483307,-0.2426038086414337,-0.5748589634895325,-0.5748589634895325,0.4500152468681335,-0.5748589634895325,-0.5748589634895325,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが,この弾は君たちにとっては無害ですが
46,02:36.6,0.3326563537120819,0.5704805254936218,0.4512243270874023,0.8267579078674316,0.4287835657596588,0.3695504665374756,-0.2235606014728546,-0.4590184390544891,-0.5837485194206238,-0.2470060288906097,-0.6795658469200134,-0.4534543752670288,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です,国が開発した対先生用特殊弾です
47,02:40.4,0.5692521929740906,0.5051100254058838,0.5421149134635925,0.8521952629089355,0.5225907564163208,0.573082447052002,-0.4547885358333587,-0.2527965605258941,-0.3482342660427093,-0.616243302822113,-0.3654992878437042,-0.205034852027893,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる,当たれば　先生の細胞を豆腐のように破壊できる
48,02:45.0,0.6388728618621826,0.7105367183685303,0.6787323951721191,0.8024834394454956,0.7528970241546631,0.7031869292259216,0.1911672204732895,0.1862425506114959,0.3288412392139435,0.2524938881397247,0.3240576088428497,0.0842930227518081,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが,もちろん数秒あれば再生しますが
49,02:48.5,0.7281826138496399,0.5754545331001282,0.6942997574806213,0.808256208896637,0.7949078679084778,0.6735068559646606,-0.4931606948375702,-0.5391497015953064,-0.6184576749801636,-0.5149917602539062,-0.5775023102760315,-0.8314053416252136,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない,だが　君たちも目に入ると危ない
