time_stamp,time_stamp.1,sbert_jap_en__ai,sbert_jap_en__fansub,sbert_jap_en__official,sbert_jap_sp__ai,sbert_jap_sp__fansub,sbert_jap_sp__official,comet_jap_en__ai,comet_jap_en__fansub,comet_jap_en__official,comet_jap_sp__ai,comet_jap_sp__fansub,comet_jap_sp__official,comet_jap_en_norm__ai,comet_jap_en_norm__fansub,comet_jap_en_norm__official,sbert_jap_en_norm__ai,sbert_jap_en_norm__fansub,sbert_jap_en_norm__official,qe_mix_en__ai,qe_mix_en__fansub,qe_mix_en__official,comet_jap_sp_norm__ai,comet_jap_sp_norm__fansub,comet_jap_sp_norm__official,sbert_jap_sp_norm__ai,sbert_jap_sp_norm__fansub,sbert_jap_sp_norm__official,qe_mix_sp__ai,qe_mix_sp__fansub,qe_mix_sp__official
203,0:13:26.54,0.5947976112365723,0.3683325052261352,0.6738373637199402,0.7385036945343018,0.4327563047409057,0.5629948973655701,-0.6268044114112854,-0.2819225192070007,-0.3967037796974182,-0.6708478331565857,-0.5047603845596313,-0.6885152459144592,0.2945042685886079,0.4860472914900918,0.4676608087655012,0.489743761335163,0.2970020687998124,0.6790682255651481,0.37260006568723,0.41042920241398,0.55222377548536,0.2812228694353353,0.4607026162793202,0.2545912723327476,0.6359036767576507,0.3655234476733169,0.537266024457728,0.4230951923642615,0.4226309488369189,0.3676611731827397
204,0:13:29.39,0.8313839435577393,0.6343587040901184,0.6442878246307373,0.6876303553581238,0.662969172000885,0.6609209179878235,-0.0655291378498077,-0.282494455575943,-0.302927702665329,-0.2142200171947479,0.0648145079612732,0.0071581713855266,0.5935719810280151,0.4857151525485377,0.517788961538301,0.802060882584677,0.6020879395430594,0.6482268762316195,0.6769675416506798,0.5322642673463464,0.5699641274156284,0.5017927154464467,0.7179469225918661,0.6130492310996483,0.5603702594376284,0.629098214626774,0.6433781216145424,0.5252237330429194,0.6824074394058293,0.6251807873056059
205,0:13:34.79,0.6734402179718018,0.5575823187828064,0.6634616851806641,0.9093180894851683,0.6674684286117554,0.7515023946762085,0.124863252043724,-0.0454410724341869,0.1784092932939529,-0.025961983948946,0.1615258604288101,0.176632285118103,0.6950199143211134,0.6233784732325193,0.7750884267354948,0.5935597015973514,0.5140387531695907,0.6682389559296317,0.6544358292316086,0.5796425852073479,0.7323486384131496,0.5927290183869831,0.7616258928286845,0.7003737476927737,0.8895177541314535,0.634249492775509,0.7415317113743349,0.7114445126847713,0.7106753328074144,0.7168369331653982
206,0:13:41.90,0.9201773405075072,0.8588217496871948,0.8588217496871948,0.9837301969528198,0.986924171447754,0.9837301969528198,0.517665684223175,0.3573551476001739,0.3573547899723053,0.5430669784545898,0.1566392481327057,0.5430669784545898,0.9043192196105287,0.8572931487962382,0.8707440297356873,0.9192768597260406,0.8595080884159857,0.8721395303879369,0.9103022756567336,0.8581791246441373,0.8713022299965871,0.8675931992929045,0.7594188903662584,0.8891856656535996,1.0,1.0,0.9931724802027316,0.9205559195757428,0.855651334219755,0.9307803914732524
207,0:13:43.87,0.4841922521591186,0.5709109902381897,0.5709109902381897,0.8380324244499207,0.8481171727180481,0.4274240434169769,-0.1636689752340316,-0.1659158170223236,-0.1659158170223236,0.3273342549800873,0.1053418964147567,0.2296701073646545,0.5412795355058084,0.5534155257362595,0.5910288853287976,0.3437338587219151,0.5293244256115571,0.5716422440430269,0.462261264792251,0.5437790856863786,0.5832742288144893,0.7633855011786366,0.7362508191755675,0.7277024180532546,0.7836774461580381,0.841077422052285,0.3903621930305545,0.7715022791703972,0.7781814603262545,0.5927663280441746
208,0:13:46.59,0.8523339629173279,0.8563591837882996,0.8563591837882996,0.850388765335083,0.8567897081375122,0.7907437682151794,-0.0791309773921966,-0.4105401933193207,-0.4105401933193207,-0.1383849382400512,-0.5056408643722534,-0.3809206187725067,0.5863244302654488,0.4113555242506252,0.4602645316144637,0.8297169592156216,0.8566839528055257,0.8695693090753339,0.6836814418455179,0.5894868956725854,0.6239864425988118,0.538424149412081,0.4603049540550994,0.4130848117307384,0.8020233355323385,0.85100676062179,0.7840534478349287,0.6438638238601841,0.6165856766817757,0.5614722661724145
209,0:13:49.89,0.7254487872123718,0.7201845049858093,0.7201845049858093,0.764036238193512,0.673196017742157,0.6900794506072998,0.0371066927909851,0.177495390176773,0.177495390176773,-0.009353581815958,-0.0991217046976089,-0.4174006879329681,0.6482600539397079,0.7528437157775395,0.7745998983546174,0.6622161048060993,0.7005152347129092,0.7274415138955019,0.6538424742862644,0.7319123233516873,0.7557365445709712,0.6007515535302865,0.6439063392397965,0.3942878147465981,0.6738127329879499,0.6408071104630813,0.6749741471306134,0.629976025313352,0.6426666477291103,0.5065623477002043
210,0:13:55.11,0.5491009950637817,0.6623784303665161,0.6623784303665161,0.7428955435752869,0.6496199369430542,0.6760227084159851,-0.2655690014362335,-0.3048413693904876,-0.3048413693904876,-0.5424453616142273,-0.1533409357070922,-0.6799797415733337,0.4869835257414121,0.4727376943828834,0.5167660079131227,0.4294197541369964,0.6342217016519296,0.6671083447197745,0.4639580170996458,0.5373312972905018,0.5769029426357835,0.3432464965240343,0.6194186227814691,0.2589893410056037,0.6424244078869846,0.613814440260673,0.6597423386323713,0.4629176610692144,0.6171769497731506,0.4192905400563107
211,0:13:58.31,0.7654650211334229,0.5552620887756348,0.6983828544616699,0.787118136882782,0.6699824333190918,0.6048843860626221,-0.1251591891050338,-0.3476710021495819,-0.4100916981697082,-0.332531601190567,-0.753217875957489,-0.3194796741008758,0.5617989387053308,0.4478653665082521,0.4605042754178853,0.7150414513037323,0.511377852118922,0.704686765747563,0.6230959437446915,0.47327036075252,0.5581772715497564,0.4446433983197181,0.3484886197319716,0.4447433386544512,0.708083231336749,0.6371278210494355,0.5826572439336755,0.5500193315265305,0.4639443002589571,0.4999089007661409
212,0:14:06.52,0.7187016010284424,0.4245112836360931,0.4179051518440246,0.7201763987541199,0.5710554718971252,0.5028667449951172,0.1729338616132736,-0.7249780297279358,-0.5347371697425842,0.2813418805599212,-0.7595667839050293,-0.2103173434734344,0.7206336691339885,0.228752955432565,0.3938748381542139,0.6533091584714364,0.3614293755902129,0.4119474854297488,0.6937038648689677,0.2818235234956241,0.4011038970644279,0.7411693098102394,0.3456211822057515,0.5009911486725773,0.6086925028317963,0.5238646003070329,0.4721114893745027,0.6881785870188621,0.416918549446264,0.4894392849533475
